LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
5.0,-0.69486403,0.018018018,-0.21608901,0.3463894,-0.09183156,8023.0
8.0,-0.29305136,-0.0945946,-0.4343175,-0.23956701,-0.58244544,6199.0
12.0,-0.17824773,-0.3873874,-0.20967051,-0.56145847,-0.4297311,9202.0
10.0,-0.22167674,-0.38513514,-0.20667523,-0.43327162,-0.4084221,9880.0
10.0,-0.25427946,-0.38063064,-0.20325203,-0.38342115,-0.21511923,9617.0
8.0,-1.0589124,0.4436937,-0.516902,-0.09514314,-0.6448503,7144.0
12.0,0.20266917,0.5968468,0.58664954,-0.12448369,0.19279553,12642.0
5.0,-0.051359516,0.5698198,0.57937527,0.2968238,0.43328258,14612.0
10.0,0.6351964,-0.5698198,-0.25246042,-0.5554764,-0.38153222,5232.0
10.0,0.7200408,-0.5427928,-0.20111254,-0.56459194,-0.24860477,5032.0
12.0,0.6762341,0.32207206,1.2537441,-0.33471015,0.028411973,7252.0
4.0,-0.38670695,1.581081,0.4826701,0.14499359,-0.07864028,13265.0
10.0,0.1344411,-0.8873874,-0.834831,-0.29596925,-0.24606799,6810.0
8.0,0.16283959,-0.8626126,-0.79246897,0.06323885,-0.026382547,8693.0
10.0,-1.2847432,-0.32882884,-0.7817715,-1.0502777,-0.7853881,3719.0
4.0,-0.32175228,1.09009,0.55241764,0.24896738,0.08422121,12962.0
5.0,-0.461858,1.3671172,0.58707744,0.6175758,0.52207,12309.0
7.0,-2.444864,-1.259009,-1.5284553,-1.6286854,-1.5286657,2781.0
7.0,-2.444864,-1.259009,-1.5284553,-1.6286854,-1.5286657,2781.0
7.0,-2.444864,-1.259009,-1.5284553,-1.6286854,-1.5286657,2781.0
9.0,0.22583081,0.9391892,2.1476252,0.018515881,0.16590562,11277.0
4.0,-0.07439577,1.2792792,1.5485666,-0.18060106,-0.07204465,16741.0
4.0,0.06722055,1.2747748,2.013265,-0.13473864,-0.12328767,15589.0
1.0,0.275932,-0.011261261,-0.7381258,0.4156103,0.21917808,11960.0
8.0,0.5226586,-0.5810811,-0.8660676,-0.07748184,-0.20040588,9850.0
10.0,0.47771904,-0.8761261,-0.8908858,-0.5224327,-0.5139523,4763.0
5.0,0.21223564,1.2274774,2.1322207,0.79077053,0.6768138,15823.0
1.0,-0.9264849,-0.2545045,-0.49850234,0.06637231,-0.0761035,8745.0
12.0,0.4252266,0.083333336,0.9589217,-0.64919525,-0.4155251,9575.0
12.0,-0.118957706,-0.18018018,0.20838682,-0.6452072,-0.52156264,8420.0
7.0,1.4969789,-1.1171172,-1.2340608,-0.9747899,-0.702689,2449.0
10.0,1.0800605,-1.150901,-1.3110826,-1.1420026,-0.91527146,1824.0
7.0,0.9429758,-1.1621622,-1.3324776,-1.0690784,-0.8396753,1992.0
4.0,-0.17145015,0.1554054,0.32092425,0.083179034,-0.19431761,16341.0
10.0,0.8413897,-0.47522524,-0.11553273,-0.36405072,-0.20852359,10371.0
10.0,1.2995967,-1.1193694,-1.2379118,-1.0776243,-0.913242,2146.0
10.0,0.79003024,-1.0067568,-1.1082585,-0.96538955,-0.72298324,2421.0
10.0,1.1728103,-1.054054,-1.1219512,-1.0898732,-0.906139,2213.0
1.0,-0.14728096,2.126126,0.031236628,0.85657316,0.70218164,12625.0
1.0,0.16072567,1.9121622,0.10954215,0.34040734,0.25520042,12665.0
