LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
8.0,0.2560423,-0.5225225,-0.572101,-0.2828657,-0.33333334,8601.84
8.0,0.19033232,-0.47522524,-0.50748825,0.0558325,-0.05530188,9384.061
8.0,-0.94561934,-0.5045045,-0.699187,-0.95257086,-0.5961441,7713.5996
4.0,0.02265861,0.7477477,0.35772356,0.2991027,0.5449011,17096.701
5.0,-0.16087614,1.0225226,0.24347454,0.6942031,0.5479452,13683.6
7.0,-1.9486405,-1.3738738,-1.6914848,-0.9153967,-0.92212075,2494.56
7.0,-1.9486405,-1.3738738,-1.6914848,-0.9153967,-0.92212075,4562.6
7.0,-1.9486405,-1.3738738,-1.6914848,-0.9153967,-0.92212075,3046.1301
4.0,0.40735194,0.6621622,0.821994,0.74348384,0.95585996,17656.3
4.0,0.45266917,0.3783784,1.1382114,0.13559322,0.31506848,13156.7
1.0,0.2980861,0.03153153,-0.8241335,0.2982481,0.17250127,14728.6
8.0,0.40256798,-0.5315315,-0.94822425,-0.0997009,-0.22678843,6656.2
5.0,0.4070997,0.3963964,1.5186136,0.6668566,0.6352106,14760.0
1.0,-0.73111784,-0.2837838,-0.49037227,0.053838484,-0.11466261,9140.8
12.0,0.5294562,0.8063063,1.7000428,-0.52499646,-0.3267377,19369.6
12.0,0.33031267,0.10585585,0.46854943,-0.46204245,-0.44901064,12554.5
10.0,0.2794562,-0.990991,-1.1129653,-0.6036177,-0.49467275,4058.75
10.0,1.1500498,-1.0923424,-1.1818571,-1.0608176,-0.85895485,2459.47
7.0,1.0370091,-1.1036036,-1.2053915,-1.0400227,-0.7798072,1700.3
10.0,0.91087615,-0.7522523,-0.46683782,-0.45776954,-0.26281077,6310.1704
10.0,1.3530967,-0.8423423,-0.73341894,-1.0935764,-0.86250633,790.687
10.0,0.91691846,-0.9481982,-0.89045787,-0.90813273,-0.6712329,8651.95
10.0,1.2223066,-0.7387387,-0.54514337,-1.0055548,-0.74429226,2483.15
1.0,-0.32175228,1.4031532,-0.02610184,0.85429424,0.48046675,19493.7
1.0,0.012084592,1.2117118,-0.016688062,0.44580543,0.36225265,9051.99
5.0,0.01510574,0.6936937,0.5982028,0.031904288,-0.05225774,12720.1
5.0,-0.7114804,0.10135135,-0.014120667,0.26919243,-0.107559614,11949.699
8.0,-0.5377644,0.21621622,-0.2991014,-0.46004844,-0.6022324,4330.6797
8.0,-1.0362538,0.7567568,-0.36970475,-0.092009686,-0.4895992,6585.04
12.0,0.29984894,0.8761261,0.5840822,-0.20652328,-0.23135464,8453.97
5.0,0.0694864,0.8175676,0.5656825,0.38171202,0.17250127,13730.899
12.0,0.50100756,0.7184685,2.2280703,-0.39424583,-0.09741248,11573.9
4.0,-0.24622357,2.0765765,0.50577664,0.066087455,0.04718417,12999.5
8.0,0.18126889,-0.3626126,-0.44244757,-0.35635948,-0.29375952,10645.5
8.0,0.21178277,-0.3018018,-0.33247754,0.030764848,-0.0025367835,11138.101
10.0,-0.9964758,-0.6418919,-0.715875,-0.8058681,-0.38863522,6285.16
4.0,-0.055388205,1.545045,0.75267434,0.27204102,0.24048707,16461.6
5.0,-0.41616315,1.527027,0.57766366,0.68451786,0.53221714,13714.301
7.0,-2.5453172,-1.168919,-1.3281986,-1.5470731,-1.4251649,1827.53
7.0,-2.5453172,-1.168919,-1.3281986,-1.5470731,-1.4251649,3166.61
7.0,-2.5453172,-1.168919,-1.3281986,-1.5470731,-1.4251649,1351.7101
4.0,0.25302115,1.3873874,1.3076594,0.6110241,0.94063926,17063.7
4.0,0.18882175,1.6441442,1.8866068,-0.016806724,-0.024860477,14517.6
1.0,0.13141994,-0.0990991,-1.0265298,0.26976213,0.1978691,13415.0
8.0,0.074773416,-0.6148649,-1.1471972,-0.13473864,-0.20598681,7216.37
10.0,0.44033232,-0.8130631,-0.50620455,-0.50562596,-0.48554033,6343.71
5.0,0.260574,0.8851351,2.000428,0.7175616,0.73921865,16619.0
1.0,-0.66012084,-0.4481982,-0.46298674,0.025922233,-0.092846274,8680.68
12.0,0.40558913,0.5968468,1.5964912,-0.51588094,-0.41704717,18317.4
12.0,0.22532779,-0.1936937,0.27770647,-0.6155818,-0.48503298,5967.17
7.0,1.4652568,-0.7927928,-0.6427043,-0.99729383,-0.72602737,2784.91
10.0,1.1351963,-1.1328828,-1.2580231,-1.1143712,-0.9223744,2031.15
7.0,1.0649546,-1.1463964,-1.2832692,-1.069933,-0.84830034,1920.16
4.0,-0.026887922,0.31756756,0.31407788,0.005982054,0.13901573,12600.1
10.0,1.2280967,-0.7454955,-0.54129225,-0.38256657,-0.26179606,3442.92
10.0,1.2243203,-0.8783784,-0.79931533,-1.0981342,-0.9365804,1598.43
10.0,0.83308154,-0.9211712,-0.81557554,-0.9696624,-0.7351598,6493.9004
10.0,1.1289018,-0.786036,-0.6332905,-1.0759151,-0.86453575,2751.6501
1.0,-0.30626887,1.8355856,-0.2199401,0.87879217,0.456621,19879.0
1.0,0.011329305,1.6081082,-0.068035945,0.23244552,0.1476408,10030.5
5.0,-0.101208456,0.4189189,0.46598202,0.23928215,0.33434805,13117.801
5.0,-0.69486403,0.018018018,-0.21608901,0.3463894,-0.09183156,10405.601
8.0,-0.29305136,-0.0945946,-0.4343175,-0.23956701,-0.58244544,4565.58
12.0,-0.17824773,-0.3873874,-0.20967051,-0.56145847,-0.4297311,6383.2705
10.0,-0.22167674,-0.38513514,-0.20667523,-0.43327162,-0.4084221,7861.09
10.0,-0.25427946,-0.38063064,-0.20325203,-0.38342115,-0.21511923,13798.101
8.0,-1.0589124,0.4436937,-0.516902,-0.09514314,-0.6448503,5786.62
12.0,0.20266917,0.5968468,0.58664954,-0.12448369,0.19279553,10288.3
5.0,-0.051359516,0.5698198,0.57937527,0.2968238,0.43328258,13994.101
10.0,0.6351964,-0.5698198,-0.25246042,-0.5554764,-0.38153222,6227.16
10.0,0.7200408,-0.5427928,-0.20111254,-0.56459194,-0.24860477,4298.3896
12.0,0.6762341,0.32207206,1.2537441,-0.33471015,0.028411973,10420.601
4.0,-0.38670695,1.581081,0.4826701,0.14499359,-0.07864028,12864.5
10.0,0.1344411,-0.8873874,-0.834831,-0.29596925,-0.24606799,9301.87
8.0,0.16283959,-0.8626126,-0.79246897,0.06323885,-0.026382547,8826.939
10.0,-1.2847432,-0.32882884,-0.7817715,-1.0502777,-0.7853881,7035.73
4.0,-0.32175228,1.09009,0.55241764,0.24896738,0.08422121,18724.1
5.0,-0.461858,1.3671172,0.58707744,0.6175758,0.52207,11991.801
7.0,-2.444864,-1.259009,-1.5284553,-1.6286854,-1.5286657,1569.2999
7.0,-2.444864,-1.259009,-1.5284553,-1.6286854,-1.5286657,2457.91
7.0,-2.444864,-1.259009,-1.5284553,-1.6286854,-1.5286657,1801.9501
9.0,0.22583081,0.9391892,2.1476252,0.018515881,0.16590562,8961.07
4.0,-0.07439577,1.2792792,1.5485666,-0.18060106,-0.07204465,15274.301
4.0,0.06722055,1.2747748,2.013265,-0.13473864,-0.12328767,14877.0
1.0,0.275932,-0.011261261,-0.7381258,0.4156103,0.21917808,15769.9
8.0,0.5226586,-0.5810811,-0.8660676,-0.07748184,-0.20040588,8487.17
10.0,0.47771904,-0.8761261,-0.8908858,-0.5224327,-0.5139523,5789.8296
5.0,0.21223564,1.2274774,2.1322207,0.79077053,0.6768138,22563.5
1.0,-0.9264849,-0.2545045,-0.49850234,0.06637231,-0.0761035,8579.27
12.0,0.4252266,0.083333336,0.9589217,-0.64919525,-0.4155251,19752.5
12.0,-0.118957706,-0.18018018,0.20838682,-0.6452072,-0.52156264,14821.801
7.0,1.4969789,-1.1171172,-1.2340608,-0.9747899,-0.702689,1486.33
10.0,1.0800605,-1.150901,-1.3110826,-1.1420026,-0.91527146,1247.94
7.0,0.9429758,-1.1621622,-1.3324776,-1.0690784,-0.8396753,1561.59
4.0,-0.17145015,0.1554054,0.32092425,0.083179034,-0.19431761,12338.5
10.0,0.8413897,-0.47522524,-0.11553273,-0.36405072,-0.20852359,6404.91
10.0,1.2995967,-1.1193694,-1.2379118,-1.0776243,-0.913242,905.296
10.0,0.79003024,-1.0067568,-1.1082585,-0.96538955,-0.72298324,4550.61
10.0,1.1728103,-1.054054,-1.1219512,-1.0898732,-0.906139,1627.73
1.0,-0.14728096,2.126126,0.031236628,0.85657316,0.70218164,21088.5
1.0,0.16072567,1.9121622,0.10954215,0.34040734,0.25520042,11121.7
5.0,-0.1223565,0.30855855,0.7603766,0.24270047,0.29883307,15390.5
5.0,-0.3708459,-0.083333336,0.0445015,0.37629968,0.20040588,10969.8
8.0,-0.39274925,-0.21621622,-0.5742405,-0.06836633,-0.53323185,4738.3
12.0,-0.020015106,0.09684685,0.40693197,-0.584817,-0.53323185,5921.28
14.0,-0.057401814,0.09009009,0.3872486,-0.47770974,-0.38711315,8183.8203
10.0,-0.004531722,0.0945946,0.3928113,-0.39396098,-0.11060376,12553.101
8.0,-0.66200906,0.6306306,0.01754386,0.05754166,-0.325723,6560.49
14.0,0.3617825,0.48873875,0.6645272,0.11850164,0.13191274,13073.9
5.0,0.054380666,0.43243244,0.6170304,0.3811423,0.5195332,17822.2
10.0,0.8670695,-0.43243244,0.01711596,-0.40620995,-0.3105023,7286.29
10.0,1.0271903,-0.38963965,0.093709886,-0.6372312,-0.32217148,5611.8203
12.0,0.9614804,0.19594595,1.2464699,-0.3267341,-0.053779807,13775.1
8.0,-1.3338369,-0.9977477,-1.122807,-0.11650762,-0.3665652,10923.6
4.0,-0.2212991,1.445946,0.84852374,0.1774676,0.1780822,13292.4
10.0,0.18831871,-0.17117117,-0.1287976,-0.3039453,-0.24809742,11052.5
9.0,0.18479307,-0.11036036,-0.03851091,-0.013673265,-0.05936073,11626.5
10.0,-1.0015106,-0.4009009,-0.8553701,-0.96681386,-0.6260781,4136.5
4.0,-0.07955739,0.7207207,0.50534874,0.44836918,0.6854389,19745.799
5.0,-0.17749244,1.1891892,0.3992298,0.76342404,0.54185694,17668.9
7.0,-2.2371602,-1.1531532,-1.3731279,-1.0230737,-0.8734145,2497.42
7.0,-2.2371602,-1.1531532,-1.3731279,-1.0230737,-0.8734145,0.0
7.0,-2.2371602,-1.1531532,-1.3731279,-1.0230737,-0.8734145,2142.06
9.0,0.441213,0.6463964,2.1069748,0.093149126,0.6108574,10562.3
4.0,0.35800603,0.41666666,0.872914,0.23102123,0.44748858,16893.102
4.0,0.35347432,1.09009,2.2199402,0.5477852,0.5677321,14077.4
1.0,0.26510575,0.48423424,-0.19084296,0.3911124,0.3805175,16366.4
10.0,0.57666165,-0.7522523,-0.48566538,-0.3606324,-0.41704717,8219.94
